patch_id,installed_on,description,installed_by
KB4019990,10/6/2020,Update,NT AUTHORITY\SYSTEM
KB4040980,10/6/2020,Update,NT AUTHORITY\SYSTEM
KB4474419,10/10/2020,Security Update,NT AUTHORITY\SYSTEM
KB4490628,10/10/2020,Update,NT AUTHORITY\SYSTEM
KB4507004,12/17/2020,Update,NT AUTHORITY\SYSTEM
KB4532945,11/16/2020,Update,NT AUTHORITY\SYSTEM
KB4536952,12/17/2020,Security Update,NT AUTHORITY\SYSTEM
KB958488,9/19/2020,Update,vagrant-PC\vagrant
KB976902,11/21/2010,Update,vagrant-PC\Administrator
KB4534310,12/19/2020,Security Update,NT AUTHORITY\SYSTEM
